suite,backend,concurrency,payload_bytes,trials,requests,errors,rps_mean,rps_ci95,mean_ms,mean_ci95,p50_ms,p50_ci95,p95_ms,p95_ci95,p99_ms,p99_ci95,p99_sd,p99_cov_pct
grpc,mongo,10,100,5,58032,0,773.39,20.98,12.93,0.36,12.15,0.35,21.09,0.81,31.72,4.55,3.66,11.5
grpc,mongo,10,1000,5,58284,0,776.66,11.81,12.87,0.20,12.14,0.18,20.80,0.43,29.45,0.83,0.67,2.3
grpc,mongo,10,10000,5,51591,0,687.15,48.91,14.57,1.07,13.43,0.41,25.02,4.95,39.59,13.72,11.05,27.9
grpc,mongo,50,100,5,61322,0,815.06,20.20,61.15,1.51,58.91,1.04,92.53,6.32,114.80,21.48,17.30,15.1
grpc,mongo,50,1000,5,57123,0,759.05,51.65,65.78,4.47,61.67,1.86,101.34,13.74,163.26,84.02,67.67,41.4
grpc,mongo,50,10000,5,54957,0,729.99,36.34,68.26,3.37,64.99,1.81,102.83,10.94,140.23,39.97,32.19,23.0
grpc,mongo,100,100,5,61489,0,813.81,18.55,121.96,2.76,118.84,1.92,173.33,7.92,209.68,18.07,14.56,6.9
grpc,mongo,100,1000,5,61204,0,809.89,22.36,122.58,3.36,118.46,3.07,173.82,10.88,222.46,37.46,30.17,13.6
grpc,mongo,100,10000,5,54412,0,720.65,77.54,138.72,16.67,130.84,3.89,194.40,35.57,367.78,405.73,326.76,88.8
grpc,postgres,10,100,5,100336,0,1337.23,78.99,7.49,0.45,6.80,0.17,11.91,0.86,20.52,10.80,8.70,42.4
grpc,postgres,10,1000,5,105819,0,1410.23,47.58,7.09,0.24,6.61,0.18,10.67,0.58,16.19,1.43,1.15,7.1
grpc,postgres,10,10000,5,85167,0,1135.14,28.71,8.81,0.22,7.87,0.10,14.88,0.92,29.21,5.51,4.44,15.2
grpc,postgres,50,100,5,102554,0,1364.41,80.63,36.62,2.26,33.25,0.79,55.81,4.15,79.61,31.92,25.71,32.3
grpc,postgres,50,1000,5,102279,0,1357.01,48.04,36.75,1.35,33.20,0.36,54.62,3.83,82.81,35.35,28.47,34.4
grpc,postgres,50,10000,5,85280,0,1133.32,37.63,43.98,1.41,39.41,0.65,70.77,6.37,108.11,23.94,19.28,17.8
grpc,postgres,100,100,5,103706,0,1376.33,58.90,72.37,3.11,66.22,1.61,104.50,6.80,140.97,24.49,19.72,14.0
grpc,postgres,100,1000,5,104332,0,1385.36,59.19,71.95,3.17,65.52,0.48,104.65,6.28,158.89,68.47,55.15,34.7
grpc,postgres,100,10000,5,86073,0,1141.82,55.19,87.26,4.20,78.33,1.25,132.79,7.41,204.21,44.81,36.09,17.7
grpc,redis,10,100,5,105867,0,1411.08,187.58,7.15,1.00,6.92,0.52,10.85,2.83,16.97,7.17,5.77,34.0
grpc,redis,10,1000,5,103866,0,1384.32,174.24,7.28,0.94,7.11,0.56,10.91,2.48,16.07,6.07,4.89,30.4
grpc,redis,10,10000,5,89812,0,1196.96,121.07,8.39,0.87,7.99,0.53,13.55,2.09,21.23,5.70,4.59,21.6
grpc,redis,50,100,5,103557,0,1377.26,135.03,36.41,3.66,33.89,2.81,52.50,12.74,85.56,39.20,31.57,36.9
grpc,redis,50,1000,5,103545,0,1377.87,141.60,36.42,3.86,34.41,3.03,52.79,12.89,72.26,27.63,22.26,30.8
grpc,redis,50,10000,1,5613,0,47.96,—,840.46,—,37.84,—,86.13,—,4354.27,—,—,—
grpc,redis,100,100,5,103928,0,1379.52,151.18,72.62,8.08,68.79,6.17,101.76,23.79,144.45,51.44,41.43,28.7
grpc,redis,100,1000,5,100850,0,1338.66,146.78,74.82,8.64,71.43,7.24,103.38,21.77,143.47,63.18,50.88,35.5
rest,mongo,10,100,5,44657,0,594.98,10.66,16.79,0.31,15.45,0.20,29.16,1.47,42.23,6.27,5.05,12.0
rest,mongo,10,1000,5,42382,0,564.72,38.84,17.74,1.27,16.21,0.63,30.50,3.20,49.46,19.86,16.00,32.3
rest,mongo,10,10000,5,39252,0,522.99,36.18,19.15,1.40,17.80,0.83,32.14,3.12,47.85,18.57,14.96,31.3
rest,mongo,50,100,5,16886,7,222.19,50.84,225.50,44.78,154.88,34.81,666.48,133.75,1042.17,183.83,148.05,14.2
rest,mongo,50,1000,5,16541,0,218.16,18.39,225.16,18.39,153.20,13.67,659.72,50.26,1044.62,130.58,105.17,10.1
rest,mongo,50,10000,5,16988,0,223.80,40.35,221.82,40.02,151.98,30.14,653.72,103.43,1019.87,134.16,108.05,10.6
rest,mongo,100,100,5,17654,0,229.39,71.68,432.74,147.95,276.34,94.95,1363.84,500.56,2332.98,749.87,603.92,25.9
rest,mongo,100,1000,5,18107,0,232.79,51.73,419.08,117.22,279.77,93.12,1270.13,311.23,2150.56,547.28,440.76,20.5
rest,mongo,100,10000,5,18470,2,241.08,46.22,399.52,87.07,264.19,53.41,1226.58,301.23,1965.52,517.18,416.52,21.2
rest,postgres,10,100,5,52957,0,705.63,47.27,14.19,0.96,10.83,0.52,31.92,4.11,54.64,13.15,10.59,19.4
rest,postgres,10,1000,5,53940,0,718.83,40.49,13.92,0.80,10.37,0.29,32.09,2.50,54.31,7.52,6.06,11.1
rest,postgres,10,10000,5,49458,0,659.05,48.45,15.20,1.20,12.05,0.50,31.21,2.36,55.95,25.79,20.77,37.1
rest,postgres,50,100,5,21410,0,283.28,48.00,176.05,31.37,115.75,23.14,530.81,91.24,891.44,113.84,91.68,10.3
rest,postgres,50,1000,5,22874,0,302.29,34.13,163.95,16.60,103.15,8.11,525.62,70.27,885.77,162.06,130.52,14.7
rest,postgres,50,10000,5,19333,0,255.53,65.74,198.17,42.47,132.18,29.68,603.94,127.36,938.37,184.88,148.89,15.9
rest,postgres,100,100,5,22176,0,288.74,89.21,349.55,112.15,224.90,62.97,1118.09,404.32,1852.13,726.36,584.99,31.6
rest,postgres,100,1000,5,23620,0,306.95,66.15,316.70,66.93,204.26,24.43,1009.62,312.99,1705.27,713.62,574.73,33.7
rest,postgres,100,10000,5,17278,1,226.76,26.65,422.67,47.81,252.91,14.51,1404.89,223.33,2547.30,489.37,394.12,15.5
rest,redis,10,100,5,55015,0,733.08,22.86,13.63,0.43,8.86,1.56,38.14,5.53,68.80,12.98,10.45,15.2
rest,redis,10,1000,5,51780,0,689.99,50.93,14.52,1.12,9.37,1.96,40.35,7.93,72.82,18.92,15.24,20.9
rest,redis,10,10000,5,48667,0,648.07,40.61,15.44,0.97,10.11,2.78,43.29,8.02,76.94,17.47,14.07,18.3
rest,redis,50,100,5,24492,0,324.71,93.37,158.72,44.78,101.86,29.37,489.24,128.17,821.88,215.06,173.20,21.1
rest,redis,50,1000,5,24160,0,318.69,57.65,157.11,30.79,102.50,15.34,479.72,111.23,781.29,187.64,151.12,19.3
rest,redis,50,10000,5,24439,2,321.84,82.67,158.58,47.78,105.27,34.29,478.98,151.43,794.02,220.63,177.69,22.4
rest,redis,100,100,5,24185,1,314.01,55.81,313.33,57.26,187.90,35.64,1023.15,216.24,2014.78,459.72,370.25,18.4
rest,redis,100,1000,5,23745,0,312.66,56.67,313.67,54.40,191.05,34.63,1012.71,213.88,1987.89,467.04,376.14,18.9
